strict_image_lineage_id	label_set_machine	label_set_readable	physical_paths	exact_components	source_ids	public_collections
CIFSTRICT_16c2fdd7856125e8	black_pod|frosty_pod	Black pod | Frosty pod	10	9	fig_roboflow_mixed	Roboflow mixed cacao/coffee
CIFSTRICT_c494047e74506a5e	black_pod|frosty_pod	Black pod | Frosty pod	10	7	fig_roboflow_mixed	Roboflow mixed cacao/coffee
CIFSTRICT_6cd3d4ba614cb208	black_pod|frosty_pod	Black pod | Frosty pod	9	8	fig_roboflow_mixed	Roboflow mixed cacao/coffee
CIFSTRICT_7b3c064c68facbb8	black_pod|frosty_pod	Black pod | Frosty pod	8	7	fig_roboflow_mixed	Roboflow mixed cacao/coffee
CIFSTRICT_d6d2bf0fb446fb4e	black_pod|frosty_pod	Black pod | Frosty pod	8	5	fig_roboflow_mixed	Roboflow mixed cacao/coffee
CIFSTRICT_e0a1b6dbb55cf32d	black_pod|frosty_pod	Black pod | Frosty pod	7	5	fig_roboflow_mixed	Roboflow mixed cacao/coffee
CIFSTRICT_04434dc09f7cb64d	black_pod|frosty_pod	Black pod | Frosty pod	6	5	fig_roboflow_mixed	Roboflow mixed cacao/coffee
CIFSTRICT_09246d40f50e95fe	mirid_damage|pod_borer_damage	Mirid damage | Pod borer damage	6	3	fig_blackpod_borer|fig_cacao_diseases|fig_roboflow_mixed	Black pod-pod borer | Cacao Diseases | Roboflow mixed cacao/coffee
CIFSTRICT_1bb0f35e2026c666	black_pod|frosty_pod	Black pod | Frosty pod	6	4	fig_roboflow_mixed	Roboflow mixed cacao/coffee
CIFSTRICT_3e6f58acd2cb6771	healthy|pod_borer_damage	Healthy | Pod borer damage	6	3	fig_blackpod_borer|fig_cacao_diseases|fig_roboflow_mixed	Black pod-pod borer | Cacao Diseases | Roboflow mixed cacao/coffee
CIFSTRICT_613d79cbdf9367a4	black_pod|frosty_pod	Black pod | Frosty pod	6	5	fig_roboflow_mixed	Roboflow mixed cacao/coffee
